X,Y,OBJECTID,Intersecti,UPS,Coord_Type,CNTRL_Seri,CNTRL_Mode,Number_of_,Detection_,Interconne,Percent_St,Year_Timed,LED_Status,CNTRL_Vers,Cabinet_Ty,CNTRL_Note,Install_Da,Black_Hard,Year_Paint,Countdown_,All_Red_Fl,Condition,ConditionDate,InstallDate,WarrantyDate,LegacyID,FACILITYID,Ownership,OwnershipPercent,LED_Installed_Year,Controller_ID,Notes,RepairYear,FieldVerifiedDate
-88.2451454539654,40.1162922849227,41,RANDOLPH//UNIVERSITY,N,TBC, ,3608M10,N,NONE, ,0,2000,yA, ,III,Replace,1955,Y,1999,N, ,,,,,,41,Champaign,,2017,,,,
-88.2506246080346,40.1420276758154,107,Moreland/Towncenter,,,,,,Video,,,2012,Y,,,,2012,,,Y,,,,2012/08/14 05:00:00+00,,,10B6A6EB-F428-4810-8C99-F40D838B1828,,,2012,,,,
-88.2761108806008,40.069353189309,108,Mattis/Curtis,,,,,, ,,,,,,,,,,,,,,,,,,9AB971C5-7EFD-4CB3-9B7F-9561976FEAF3,Champaign,,2009,,,,
-88.2336659597637,40.083496508887,109,Fourth/Windsor,,,,,,,,,,,,,,,,,,,,,,,,FCCE1347-EDCC-4FE9-815F-60851742F38E,,,2014,,,,
-88.2393190325823,40.1567217692698,110,Olympian/Market,,,,,,,,,,,,,,,,,,,,,2013/09/25 05:00:00+00,,,809EAA54-BE7A-4BA7-851D-4CF5819723FD,,,2014,,,,
-88.2682136774902,40.1273201491724,111,Hawk Signal,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,
-88.2811473784593,40.1591448735627,112,LEGACY/OLYMPIAN,None,,,,,Video,None,,,,,,,,,,Yes,,,,,,,1,,,,,,,
-88.2771138148403,40.1577126863916,113,MATTIS/OLYMPIAN,Alpha Mini,,,,,Video,None,,,,,,,,,,Yes,,,,,,,2,,,,,,,
-88.2769169863456,40.1486997345456,114,MATTIS/INTERSTATE,None,,,,,Video,None,,,,,,,,,,No Ped Signal,,,,,,,3,Champaign,,,,,,
-88.2773299133269,40.143331401978,115,MATTIS/ANTHONY,Alpha FXM 1100,,,,,Loop,Radio,,,,,,,,,,No,,,,,,,4,Champaign,,,,,,
-88.2771316279754,40.1361014109866,117,MATTIS/PAULA,Tripp Lite,,,,,Loop/Video,Fiber,,,,,,,,,,No,,,,,,,6,IDOT,,,,,,
-88.2770837704021,40.1322219287531,118,MATTIS/PARKLAND,Tripp Lite,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,7,IDOT,67,,,,,
-88.2769345808789,40.1274215116225,119,MATTIS/BRADLEY,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,8,IDOT,50,,,,,
-88.2801251244311,40.1274426144449,120,COUNTRYFAIR/BRADLEY,Tripp Lite,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,9,,,,,,,
-88.2868379985835,40.1275434710152,121,CLAYTON/BRADLEY,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,10,,,,58,,,
-88.2579701602591,40.1271756044091,122,PROSPECT/BRADLEY,Alpha FXM 1100,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,11,IDOT,50,,,,,
-88.258015650746,40.1322110975084,123,PROSPECT/BLOOMINGTON,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,12,IDOT,100,,,,,
-88.2435488415517,40.1272045091545,124,NEIL/BRADLEY,None,,,,,Video,Fiber/Radio,,,,,,,,,,Yes,,,,,,,13,,,,,,,
-88.245233475539,40.1271862098715,125,RANDOLPH/BRADLEY,PS-5A,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,14,,,,,,,
-88.2468925597542,40.1271874600603,126,STATE/BRADLEY,Alpha FXM 1100,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,15,,,,,,,
-88.2436182527736,40.1326514832598,127,NEIL/KENYON,Alpha FXM 1100,,,,,Loop,Fiber/Radio,,,,,,,,,,Yes,,,,,,,16,IDOT,50,,,,,
-88.2436423634985,40.1337291299292,128,NEIL/I-74 S,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,17,IDOT,100,,,,,
-88.2436393240068,40.136041127972,129,NEIL/I-74 N,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,18,IDOT,100,,,,,
-88.2437656503248,40.1370404801646,130,NEIL/ANTHONY,Tripp Lite,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,19,,,,,,,
-88.2546223543946,40.130739348379,131,HAGAN/BLOOMINGTON,None,,,,, ,Fiber,,,,,,,,,,No,,,,,,,20,,,,,,,
-88.2579879178328,40.1342095886843,132,PROSPECT/I-74 S,Alpha FXM 1100,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,21,IDOT,100,,,,,
-88.257986100199,40.1358554190545,133,PROSPECT/I-74 N,Alpha FXM 1100,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,22,IDOT,100,,,,,
-88.2580092262638,40.1380302809302,134,PROSPECT/MARKETVIEW,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,23,,,,,,,
-88.2508111098592,40.1372808328964,135,MORELAND/MARKETVIEW,None,,,,,Video,None,,,,,,,,,,No,,,,,,,24,,,,,,,
-88.2483546961133,40.1418638675747,136,NEIL/TOWNCENTER,None,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,25,Champaign,,,,,,
-88.2579530818152,40.1426346481142,137,PROSPECT/TOWNCENTER,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,26,,,,,,,
-88.2579765118732,40.1445352031404,138,PROSPECT/MEIJER,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,27,,,,,,,
-88.2579040792959,40.1407732618021,139,PROSPECT/BAYTOWNE,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,28,,,,,,,
-88.2580508988085,40.1465337564731,140,PROSPECT/WALMART,Novus II 1000,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,29,Champaign,,,,,,
-88.2579969994428,40.1491004281579,141,PROSPECT/INTERSTATE,Novus II 1000,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,30,,,,,,,
-88.2581161258547,40.1568398057567,142,PROSPECT/OLYMPIAN,None,,,,,Video,None,,,,,,,,,,No Ped Signal,,,,,,,31,,,,,,,
-88.2387757564566,40.1272203035027,143,MARKET/BRADLEY,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,No,,,,,,,32,,,,,,,
-88.2435312569012,40.1211697709702,144,NEIL/COLUMBIA,Tripp Lite,,,,,None,None,,,,,,,,,,No,,,,,,,33,Champaign,,,,,,
-88.241184888566,40.1199335521185,145,WALNUT/WASHINGTON,Tripp Lite,,,,,None,None,,,,,,,,,,No Ped Signal,,,,,,,34,Champaign,,,,,,
-88.2402916306859,40.1199328379725,146,MARKET/WASHINGTON,None,,,,,None,None,,,,,,,,,,No Ped Signal,,,,,,,35,Champaign,,,,Connected to Walnut/Washington,,
-88.2421065755268,40.1177594282745,147,WALNUT/MAIN,Tripp Lite,,,,,None,None,,,,,,,,,,No,,,,,,,36,Champaign,,,,,,
-88.243509705595,40.1181523900683,148,NEIL/MAIN,Eaton,,,,,None,None,,,,,,,,,,Yes,,,,,,,37,Champaign,,,,,,
-88.2451684183299,40.1182712248478,149,RANDOLPH/CHURCH,Alpha FXM 1100,,,,,None,None,,,,,,,,,,Yes,,,,,,,38,Champaign,,,,,,
-88.2468273355137,40.1182332887288,150,STATE/CHURCH,None,,,,,None,None,,,,,,,,,,Yes,,,,,,,39,Champaign,,,,,,
-88.2467787522012,40.1162935170249,151,STATE/UNIVERSITY,Alpha FXM 1100,,,,,None,Fiber,,,,,,,,,,No,,,,,,,40,Champaign,,,,,,
-88.2451454539654,40.1162922849227,152,RANDOLPH/UNIVERSITY,Alpha FXM 1100,,,,,None,Fiber,,,,,,,,,,Yes,,,,,,,111,Champaign,,,,,,
-88.243563195883,40.1162910693591,153,NEIL/UNIVERSITY,Alpha FXM 1100,,,,,None,Fiber,,,,,,,,,,Yes,,,,,,,42,IDOT,,,,,,
-88.2426444135238,40.1163295406497,154,WALNUT/UNIVERSITY,Alpha FXM 1100,,,,,None,Fiber,,,,,,,,,,Yes,,,,,,,43,Champaign,,,,,,
-88.241062127033,40.1163478839759,155,CHESTNUT/UNIVERSITY,Alpha FXM 1100,,,,,Loop,Fiber/Radio,,,,,,,,,,Yes,,,,,,,44,Champaign,,,,,,
-88.2386887654473,40.1163263757893,156,FIRST/UNIVERSITY,None,,,,,Video,Radio,,,,,,,,,,No,,,,,,,45,,,,,,,
-88.2336101402336,40.1163808945166,157,FOURTH/UNIVERSITY,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,46,,,,,,,
-88.2289654119799,40.1163963952925,158,WRIGHT/UNIVERSITY,Novus 1800,,,,,Loop,Fiber/Radio,,,,,,,,,,Yes,,,,,,,47,IDOT,50,,,,,
-88.2289454940687,40.1127324316998,159,WRIGHT/SPRINGFIELD,None,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,48,IDOT,,,,,,
-88.2304000743982,40.1127337335329,160,SIXTH/SPRINGFIELD,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,49,IDOT,50,,,,,
-88.2335389918039,40.1126777004081,161,FOURTH/SPRINGFIELD,Alpha FXM 1100,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,50,IDOT,50,,,,,
-88.2386940469945,40.1126347598329,162,FIRST/SPRINGFIELD,Alpha FXM 1100,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,51,IDOT,50,,,,,
-88.2435170005524,40.1126074944707,163,NEIL/SPRINGFIELD,Novus II 1000,,,,,Radar,Fiber,,,,,,,,,,No,,,,,,,52,IDOT,100,,,,,
-88.2451502370471,40.1125891563697,164,RANDOLPH/SPRINGFIELD,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,53,IDOT,50,,,,,
-88.2468089416862,40.1126100004533,165,STATE/SPRINGFIELD,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,54,IDOT,,,,,,
-88.2578331177876,40.1126177112684,166,PROSPECT/SPRINGFIELD,Alpha FXM 1100,,,,,Loop,Fiber/Radio,,,,,,,,,,Yes,,,,,,,55,IDOT,100,,,,,
-88.2578290876358,40.1162620617733,167,PROSPECT/UNIVERSITY,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,56,IDOT,50,,,,,
-88.2578268772412,40.1182605750666,168,PROSPECT/CHURCH,Alpha FXM 1100,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,57,IDOT,50,,,,,
-88.2768643944021,40.1197017313026,169,MATTIS/GLENNPARK,Zinc Five,,,,,Video,Fiber,,,,,,,,,,Yes,,,,,,,58,IDOT,50,,,,,
-88.2769164745788,40.1184477864528,170,MATTIS/CHURCH,None,,,,,None,Fiber,,,,,,,,,,No,,,,,,,59,IDOT,100,,,,,
-88.2767934926796,40.1128636386139,172,MATTIS/SPRINGFIELD,Novus 1800,,,,,Loop,Fiber/Radio,,,,,,,,,,No,,,,,,,61,IDOT,100,,,,,
-88.2787584273325,40.1129037682286,173,ROUNDBARN/SPRINGFIELD,Pulsar EX 10,,,,,Loop,Fiber,,,,,,,,,,Yes,,,,,,,62,IDOT,,,,,,
-88.2828159412213,40.1129252021108,174,COUNTRYFAIR/SPRINGFIELD,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,63,IDOT,50,,,,,
-88.2861079003525,40.1129265911414,175,KENWOOD/SPRINGFIELD,None,,,,,Loop,Fiber,,,,,,,,,,No,,,,,,,64,IDOT,50,,,,,
-88.2954478337776,40.1130083960589,176,DUNCAN/SPRINGFIELD,Novus II 1000,,,,,Video,None,,,,,,,,,,No Ped Signal,,,,,,,65,IDOT,50,,,,,
-88.3145360530536,40.1132481866581,177,STALEY/SPRINGFIELD,None,,,,,Video,None,,,,,,,,,,Yes,,,,,,,66,IDOT,50,,,,,
-88.2766435998141,40.1089840907393,178,MATTIS/JOHN,Alpha FXM 1100,,,,,Video,Radio,,,,,,,,,,Yes,,,,,,,67,,,,,,,
-88.2952007711399,40.0984504737628,179,DUNCAN/KIRBY,Tripp Lite,,,,,Loop,None,,,,,,,,,,No,,,,,,,68,Champaign,,,,,,
-88.3142849265631,40.0986707105538,180,STALEY/KIRBY,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,Yes,,,,,,,69,Champaign,,,,,,
-88.2765504402702,40.0982664925148,181,MATTIS/KIRBY,Alpha FXM 1100,,,,,Video,None,,,,,,,,,,No,,,,,,,70,,,,,,,
-88.2689474687314,40.0981841424592,182,MAYFAIR/KIRBY,Pulsar EX 10,,,,,Loop,None,,,,,,,,,,Yes,,,,,,,71,Champaign,,,,,,
